entity|metric_id|count|Missing_month|max_met|min_met
108000001|100005042|4|2022-09,2022-08,2022-07,2022-06|69.0|29.0
104750001|100005042|1|2022-02|97.0|31.0
57250016|100005002|1|2022-08|576.0|499.0
57250016|100005001|1|2022-08|5135.0|4308.0
72750001|100005009|1|2022-02|1322.0|57.0
72750001|100005010|1|2022-02|1322.0|35.0
72750001|100005002|1|2022-02|2429.0|1862.0
72750001|100005001|1|2022-02|14635.0|11505.0
315250001|100005009|1|2022-02|1340.0|55.0
315250001|100005010|1|2022-02|1340.0|35.0
315250001|100005002|1|2022-02|2429.0|641.0
315250001|100005001|1|2022-02|22975.0|13829.0
47500002|100005043|1|2022-09|1334273.0|4320.0
